Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2018-11-25T08:43:36.897 ,2,0.004121049510832728,-1.6440194132822072,FoVF,0.7011614965934704,0.7067612033333084,2458447.863905381
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2019-01-01T01:46:01.035 ,3,0.0031213237671504574,0.4878775107516617,FoVF,-0.6228491608908416,0.7054182142976338,2458484.5726966383
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2019-01-19T11:59:30.759 ,2,0.0022576382789724525,-0.5775966120906395,FoVP,0.5815833661812729,0.7098823013219966,2458502.9984013205
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2019-02-27T18:31:21.492 ,3,0.002314471503979316,1.5724181189864017,FoVF,-0.6038068034240334,0.7045511985309576,2458542.2706099115
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2019-03-19T06:30:25.243 ,7,-0.004443086329631114,0.4880140839714745,FoVF,0.6381920798011832,0.7157831031640521,2458561.770399949
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2019-04-25T15:52:39.895 ,6,-0.0052152229654888775,2.613681872497767,FoVP,-0.7158338927137735,0.7136381958325811,2458599.1621858426
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2019-05-25T03:37:22.373 ,6,-0.003949322043053591,1.5089440220006312,FoVP,0.7037609402018675,0.7227773570122294,2458628.6527679265
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2019-05-25T05:23:56.594 ,4,8.363063105238343E-4,1.5110732004070824,FoVF,0.7030053499156409,0.7234244420029137,2458628.726778008
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2019-06-25T23:10:06.912 ,1,0.0064605712422073,-2.7581207562373997,FoVF,-0.6461845062007406,0.7200664577932531,2458660.4682470625
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2019-06-26T03:23:46.890 ,5,-0.0033519347597342143,-2.750578715832103,FoVP,-0.649273706435678,0.7169057325521097,2458660.6444089483
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2019-07-22T22:55:52.636 ,2,0.00212861706010308,2.5814570462278636,FoVP,0.5914971361010174,0.7205157813368638,2458687.4588722046
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2019-07-23T00:42:26.844 ,6,-0.0027114440911710394,2.5795426703514632,FoVF,0.5938057258334857,0.7185313971676648,2458687.532880012
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2019-09-02T09:13:28.789 ,7,-0.004867696213358057,-1.5530053381652957,FoVF,-0.6033845978815269,0.7196594671921638,2458728.887600679
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2019-09-22T14:05:46.292 ,2,0.0020923529803141736,-2.641069794737097,FoVP,0.6552164388786896,0.7098842999290487,2458749.0900947903
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2019-09-22T15:52:20.500 ,6,-0.003088686483011087,-2.6423306523166463,FoVF,0.6570797319909161,0.7083056100747851,2458749.1640996295
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2019-10-29T16:07:03.421 ,2,0.003200227148771686,-0.5154979565742842,FoVP,-0.7021198354385267,0.7173481303432911,2458786.1729607233
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2019-11-27T05:17:44.760 ,2,0.0025559547347996704,-1.6160347985498922,FoVP,0.6988289667231066,0.7047195531277253,2458814.7208770504
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2019-11-27T07:04:18.970 ,6,-0.0024573114311740134,-1.6137316366772105,FoVF,0.6979983898378558,0.7054311850298358,2458814.7948812004
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2019-12-27T02:15:57.530 ,7,-0.004746423405523239,0.3984162534753111,FoVF,-0.629628118278496,0.710246031301515,2458844.5936228214
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2020-02-03T09:53:29.223 ,2,0.004159216234440983,-0.2854366213360557,FoVF,0.5742459353909944,0.7093917297726926,2458882.910788302
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2020-02-03T14:07:09.252 ,6,-0.004622198399793659,-0.27562732882057944,FoVP,0.5697040614847585,0.7130520143937987,2458883.086945844
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2020-03-01T15:00:12.027 ,6,-0.004756587554332234,1.6203547165767818,FoVP,-0.6064742423359314,0.7107604255177535,2458910.1240198766
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2020-03-01T16:46:46.275 ,5,-9.037989580077562E-4,1.6242388644427361,FoVF,-0.6083249074956766,0.7093122465235795,2458910.198028713
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2020-04-06T16:31:44.139 ,1,0.0043783911750488,0.7751683102029842,FoVP,0.6862687665296218,0.7188018616497741,2458946.1886075037
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2020-04-06T18:18:18.332 ,5,-3.963062781556156E-4,0.7776097463513,FoVF,0.6854409607833898,0.7197327346738618,2458946.262617071
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2020-05-10T07:48:48.221 ,7,-0.0032915518233928576,2.8537342635177794,FoVF,-0.7243166117439896,0.7150462725462977,2458979.826802849
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2020-06-05T07:00:23.685 ,4,-0.0013354062487141206,1.7094368090524517,FoVP,0.6841169553664224,0.7266567555048821,2459005.794199152
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2020-07-15T09:18:16.563 ,7,-0.0060552937659528894,-2.435027342255533,FoVP,-0.6089019948639149,0.7145254216798063,2459045.8910082662
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2020-07-15T11:04:50.749 ,5,-0.0012167319461921441,-2.436933327937372,FoVF,-0.6065182324072612,0.7164246082505901,2459045.965016152
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2020-08-20T09:38:27.927 ,2,0.0049846386056145355,-1.796459051486175,FoVF,-0.582285809381445,0.7204894311346332,2459081.905124965
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2020-08-20T13:52:07.921 ,5,-0.0034125100992709544,-1.7872102620274994,FoVP,-0.5866545074736094,0.7170680648293516,2459082.081280549
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2020-09-28T07:29:03.751 ,3,-8.203672165999778E-5,-2.5440532276277943,FoVP,0.6677720194760726,0.70677618904172,2459120.8144028783
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2020-09-28T09:15:37.939 ,2,0.004402813940200901,-2.541132964898603,FoVF,0.6666604577699113,0.7079693321947826,2459120.8884072667
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2020-10-30T02:55:21.899 ,5,-2.672808665767516E-5,-0.4956631555691802,FoVF,-0.700852951890991,0.7149713987591896,2459152.623128244
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2020-11-25T18:55:20.943 ,6,-0.005087433274064874,-1.626479373562209,FoVP,0.6978679222448547,0.7029936918715327,2459179.2886871584
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2020-11-25T20:41:55.154 ,4,4.2482399187348304E-4,-1.6262846815860272,FoVF,0.6985164207182246,0.7022342858584283,2459179.362691317
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2021-01-01T17:57:17.614 ,3,-8.530952025716343E-5,0.5053018656025561,FoVP,-0.6137677880406901,0.7093574145505173,2459216.2471694374
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2021-01-19T23:57:19.925 ,4,-7.385546109390612E-4,-0.5554639941068515,FoVP,0.5844934811151185,0.7075456253460696,2459234.496879645
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2021-01-20T01:43:54.148 ,2,0.004423510505113614,-0.5574991793912633,FoVF,0.5869069830116903,0.7054817530101379,2459234.5708860313
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2021-02-28T06:29:15.285 ,1,0.005666788561913976,1.5943765428472263,FoVF,-0.6069149968580907,0.7102564762009491,2459273.769171952
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2021-02-28T10:42:55.296 ,7,-0.006667982165926238,1.5901739090287677,FoVP,-0.6017661024261871,0.7149576369732437,2459273.9453325113
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2021-03-19T22:41:41.818 ,6,-0.004601651084505099,0.5060710894165799,FoVP,0.6467755878745831,0.718977831517825,2459293.444935275
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2021-03-20T00:28:16.019 ,4,6.614387917851163E-4,0.5047832950532456,FoVF,0.6486958622746742,0.7174173245198772,2459293.518944363
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2021-04-26T03:51:01.918 ,2,0.001804826247636138,2.6301526444357295,FoVP,-0.7229986291785426,0.7160107559204868,2459330.6610919274
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2021-04-26T05:37:36.129 ,7,-0.00345386585698524,2.630857856203801,FoVF,-0.7227225921069284,0.7163572833886926,2459330.735102017
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2021-05-25T23:22:03.049 ,7,-0.003932335116350009,1.530491617240332,FoVF,0.7022946745515884,0.72938133528965,2459360.475511731
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2021-06-26T17:08:54.762 ,2,0.0044352507036555175,-2.738511527897529,FoVF,-0.6495794444208304,0.7176968375947762,2459392.21744886
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2021-06-26T21:22:34.792 ,6,-0.005324066250228369,-2.7309027979299763,FoVP,-0.6527003915161741,0.7144729716599111,2459392.3936112593
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2021-08-06T14:59:57.992 ,5,-0.002821932284701101,2.8630870992198942,FoVP,0.5807271110709464,0.7175994236875948,2459433.128465139
